Country,City,Latitude,Longitude,Avg_Precip_mm,Avg_Temp_celsius
Swaziland,Mbabane,-26.32,31.13,0.0243,14.22
Mexico,Mexico City,19.43,-99.13,0.0000,22.24
Belarus,Minsk,53.9,27.57,0.1190,12.10
Somalia,Mogadishu,2.07,45.37,0.0190,24.93
Monaco,Monaco,43.73,7.42,0.0367,22.95
Liberia,Monrovia,6.31,-10.8,1.4200,25.06
Uruguay,Montevideo,-34.86,-56.17,0.1038,13.14
Comoros,Moroni,-11.7,43.24,0.1524,22.09
Russia,Moscow,55.75,37.62,0.0000,12.00
Indonesia,Murong Timor,-7.56,112.27,0.0000,22.34
Oman,Muscat,23.61,58.59,0.0000,30.14
Kenya,Nairobi,-1.28,36.82,0.0476,17.98
Thailand,Nan,18.78,100.78,0.7990,25.19
Bahamas,Nassau,25.08,-77.35,0.0000,29.85
Bolivia,National,-11.18,-67.08,0.0190,30.15
Chad,N'djamena,12.11,15.05,0.0048,26.28
India,New Delhi,28.6,77.2,0.0095,28.11
Niger,Niamey,13.52,2.12,0.0143,29.38
Cyprus,Nicosia,35.17,33.37,0.0000,24.71
Jamaica,Norman Gardens,17.97,-76.75,0.0000,31.24
Mauritania,Nouakchott,18.09,-15.98,0.1857,28.08
Tonga,Nuku`Aloia,-21.13,-175.2,0.0295,24.90
Norway,Oslo,59.92,10.75,0.0048,12.76
Canada,Ottawa,45.42,-75.7,0.0000,21.14
Burkina Faso,Ouagadougou,12.37,-1.52,0.2143,26.88
Micronesia,Palikir,6.92,158.15,0.5476,29.14
Panama,Panama City,8.97,-79.53,0.5057,28.38
Suriname,Paramaribo,5.83,-55.17,0.0095,28.30
France,Paris,48.87,2.33,0.0905,20.00
Myanmar,Pathein,16.78,94.73,0.7219,25.30
Cambodia,Phnom Penh,11.55,104.92,0.0619,26.86
Montenegro,Podgorica,42.44,19.26,0.2762,22.62
Mauritius,Port Louis,-20.16,57.5,0.0190,21.95
Papua New Guinea,Port Moresby,-9.46,147.19,0.0048,26.20
Trinidad and Tobago,Port Of Spain,10.65,-61.52,0.0381,28.76
Vanuatu,Port Vila,-17.73,168.32,0.5538,25.10
Haiti,Port-Au-Prince,18.54,-72.34,2.0905,30.49
Benin,Porto-Novo,6.48,2.62,1.1810,25.81
Czech Republic,Prague,50.08,14.47,0.0857,16.57
Cape Verde,Praia,14.93,-23.51,0.1143,26.95
South Africa,Pretoria,-25.75,28.19,0.0000,15.10
North Korea,Pyongyang,39.02,125.75,0.1048,20.96
Ecuador,Quito,-0.22,-78.5,0.4800,14.79
Morocco,Rabat,34.03,-6.84,0.0190,19.86
Latvia,Riga,56.95,24.1,0.2571,13.38
Saudi Arabia,Riyadh,24.64,46.77,0.0000,32.24
Italy,Rome,41.9,12.48,0.0429,22.00
Dominica,Roseau,15.3,-61.4,0.1338,28.55
Grenada,Saint George's,12.05,-61.75,0.0810,29.43
Antigua and Barbuda,Saint John's,17.12,-61.85,0.0543,28.90
Costa Rica,San Juan,9.97,-84.08,0.9824,22.81
San Marino,San Marino,43.93,12.45,0.0095,20.10
El Salvador,San Salvador,13.71,-89.2,0.2510,28.24
Yemen,Sanaa,15.35,44.21,0.0095,19.28
Chile,Santiago,-33.45,-70.67,0.0286,13.62
Dominican Republic,Santo Domingo,18.47,-69.9,0.0000,28.95
Bosnia and Herzegovina,Sarajevo,43.85,18.38,0.3048,15.76
South Korea,Seoul,37.57,127,0.1571,22.81
Belgium,'S-Gravenwezel,51.27,4.55,0.2310,17.10
Singapore,Singapore,1.29,103.86,0.2810,27.62
Macedonia,Skopje,42,21.43,0.0857,19.00
Bulgaria,Sofia,42.68,23.32,0.1619,17.19
Sweden,Stockholm,59.33,18.05,0.0238,13.38
Bolivia,Sucre,-19.04,-65.26,0.4905,17.83
Fiji Islands,Suva,-18.13,178.42,0.0933,26.67
Estonia,Tallinn,59.43,24.73,0.0048,13.76
